2019-10-04T15:35:31+00:00 CRITICAL syntax error, unexpected ''enqueue_parent_styles'' (T_CONSTANT_ENCAPSED_STRING), expecting ',' or ')' in C:\xampp\htdocs\rubab\demo\wp-content\themes\astra-child\functions.php on line 2

2019-10-04T15:35:55+00:00 CRITICAL syntax error, unexpected ''enqueue_parent_styles'' (T_CONSTANT_ENCAPSED_STRING), expecting ',' or ')' in C:\xampp\htdocs\rubab\demo\wp-content\themes\astra-child\functions.php on line 2

2019-10-04T15:35:57+00:00 CRITICAL syntax error, unexpected ''enqueue_parent_styles'' (T_CONSTANT_ENCAPSED_STRING), expecting ',' or ')' in C:\xampp\htdocs\rubab\demo\wp-content\themes\astra-child\functions.php on line 2

2019-10-04T15:36:00+00:00 CRITICAL syntax error, unexpected ''enqueue_parent_styles'' (T_CONSTANT_ENCAPSED_STRING), expecting ',' or ')' in C:\xampp\htdocs\rubab\demo\wp-content\themes\astra-child\functions.php on line 2

2019-10-04T15:37:18+00:00 CRITICAL syntax error, unexpected ''enqueue_parent_styles'' (T_CONSTANT_ENCAPSED_STRING), expecting ',' or ')' in C:\xampp\htdocs\rubab\demo\wp-content\themes\astra-child\functions.php on line 2

2019-10-04T15:37:27+00:00 CRITICAL syntax error, unexpected ''enqueue_parent_styles'' (T_CONSTANT_ENCAPSED_STRING), expecting ',' or ')' in C:\xampp\htdocs\rubab\demo\wp-content\themes\astra-child\functions.php on line 2

2019-10-04T15:37:29+00:00 CRITICAL syntax error, unexpected ''enqueue_parent_styles'' (T_CONSTANT_ENCAPSED_STRING), expecting ',' or ')' in C:\xampp\htdocs\rubab\demo\wp-content\themes\astra-child\functions.php on line 2

2019-10-04T15:37:32+00:00 CRITICAL syntax error, unexpected ''enqueue_parent_styles'' (T_CONSTANT_ENCAPSED_STRING), expecting ',' or ')' in C:\xampp\htdocs\rubab\demo\wp-content\themes\astra-child\functions.php on line 2

2019-10-04T15:37:32+00:00 CRITICAL syntax error, unexpected ''enqueue_parent_styles'' (T_CONSTANT_ENCAPSED_STRING), expecting ',' or ')' in C:\xampp\htdocs\rubab\demo\wp-content\themes\astra-child\functions.php on line 2

2019-10-04T15:38:01+00:00 CRITICAL syntax error, unexpected ''enqueue_parent_styles'' (T_CONSTANT_ENCAPSED_STRING), expecting ',' or ')' in C:\xampp\htdocs\rubab\demo\wp-content\themes\astra-child\functions.php on line 2

2019-10-04T15:38:40+00:00 CRITICAL syntax error, unexpected ''enqueue_parent_styles'' (T_CONSTANT_ENCAPSED_STRING), expecting ',' or ')' in C:\xampp\htdocs\rubab\demo\wp-content\themes\astra-child\functions.php on line 2

2019-10-04T15:38:46+00:00 CRITICAL syntax error, unexpected ''enqueue_parent_styles'' (T_CONSTANT_ENCAPSED_STRING), expecting ',' or ')' in C:\xampp\htdocs\rubab\demo\wp-content\themes\astra-child\functions.php on line 2

2019-10-04T15:38:54+00:00 CRITICAL syntax error, unexpected ''enqueue_parent_styles'' (T_CONSTANT_ENCAPSED_STRING), expecting ',' or ')' in C:\xampp\htdocs\rubab\demo\wp-content\themes\astra-child\functions.php on line 2

2019-10-04T15:38:57+00:00 CRITICAL syntax error, unexpected ''enqueue_parent_styles'' (T_CONSTANT_ENCAPSED_STRING), expecting ',' or ')' in C:\xampp\htdocs\rubab\demo\wp-content\themes\astra-child\functions.php on line 2

2019-10-04T15:39:02+00:00 CRITICAL syntax error, unexpected ''enqueue_parent_styles'' (T_CONSTANT_ENCAPSED_STRING), expecting ',' or ')' in C:\xampp\htdocs\rubab\demo\wp-content\themes\astra-child\functions.php on line 2

2019-10-04T15:39:16+00:00 CRITICAL syntax error, unexpected ''enqueue_parent_styles'' (T_CONSTANT_ENCAPSED_STRING), expecting ',' or ')' in C:\xampp\htdocs\rubab\demo\wp-content\themes\astra-child\functions.php on line 2

2019-10-04T15:39:31+00:00 CRITICAL syntax error, unexpected ''enqueue_parent_styles'' (T_CONSTANT_ENCAPSED_STRING), expecting ',' or ')' in C:\xampp\htdocs\rubab\demo\wp-content\themes\astra-child\functions.php on line 2

2019-10-04T15:39:58+00:00 CRITICAL syntax error, unexpected ''enqueue_parent_styles'' (T_CONSTANT_ENCAPSED_STRING), expecting ',' or ')' in C:\xampp\htdocs\rubab\demo\wp-content\themes\astra-child\functions.php on line 2

2019-10-04T15:40:25+00:00 CRITICAL syntax error, unexpected ''enqueue_parent_styles'' (T_CONSTANT_ENCAPSED_STRING), expecting ',' or ')' in C:\xampp\htdocs\rubab\demo\wp-content\themes\astra-child\functions.php on line 2

2019-10-04T15:40:25+00:00 CRITICAL syntax error, unexpected ''enqueue_parent_styles'' (T_CONSTANT_ENCAPSED_STRING), expecting ',' or ')' in C:\xampp\htdocs\rubab\demo\wp-content\themes\astra-child\functions.php on line 2

2019-10-04T15:40:30+00:00 CRITICAL syntax error, unexpected ''enqueue_parent_styles'' (T_CONSTANT_ENCAPSED_STRING), expecting ',' or ')' in C:\xampp\htdocs\rubab\demo\wp-content\themes\astra-child\functions.php on line 2

2019-10-04T15:40:32+00:00 CRITICAL syntax error, unexpected ''enqueue_parent_styles'' (T_CONSTANT_ENCAPSED_STRING), expecting ',' or ')' in C:\xampp\htdocs\rubab\demo\wp-content\themes\astra-child\functions.php on line 2

